Group,PMID,Title,Abstract,Authors,Keywords,Publication Year,Journal Title,Publication Type,
2D,26221853,Use of Pedicled Trapezius Myocutaneous Flap for Posterior Skull Reconstruction.,"BACKGROUND: Soft-tissue defects in posterior skull can be challenging for reconstruction. If related to tumor resection, these wound beds are generally irradiated and can be difficult from a recipient-vessel perspective for a free tissue transfer. Locoregional flaps might prove to be important reconstructive option in such patients. There is a very limited data on the usage of pedicled trapezius myocutaneous flaps for such defects. METHODS: The authors reviewed existing study for usage of trapezius flap for posterior skull repair and used pedicled trapezius myocutaneous flaps based on the descending branch of superficial cervical artery (SCA) for reconstruction of posterior skull soft-tissue defect in an irradiated and infected wound. RESULTS: Two patients were operated for trapezius myocutaneous flap for posterior skull defects complicated by cerebrospinal fluid (CSF) leakage and epidural abscess. There was no recipient or donor-site complication at a mean follow-up of 12.5 months. Neither of the 2 patients had any functional deficits for the entire duration of the follow-up. Although this flap was able to help in controlling the CSF leakage in the first patient, it successfully healed the cavity generated from epidural abscess drainage in the second patient. CONCLUSION: The large angle of rotation coupled with the ability to complete the procedure without repositioning the patients makes trapezius myocutaneous flap an attractive option for posterior skull reconstruction. In our limited experience, the pedicled trapezius flaps are a reliable alternative as they are well vascularized and able to obliterate the soft-tissue defect completely. The recipient site healed completely in infected as well as irradiated wound beds. In addition, the donor site can be primarily closed with minimal donor-associated complication.",Singh M; Rios Diaz AJ; Cauley R; Smith TR; Caterson EJ,,2015,The Journal of craniofacial surgery,Case Reports; Journal Article,
2D,23880321,Flat-panel volumetric computed tomography in cerebral perfusion: evaluation of three rat stroke models.,"Flat-panel volumetric computed tomography (fpVCT) is a non-invasive approach to three-dimensional small animal imaging. The capability of volumetric scanning and a high resolution in time and space enables whole organ perfusion studies. We aimed to assess feasibility and validity of fpVCT in cerebral perfusion measurement with impaired hemodynamics by evaluation of three well-established rat stroke models for temporary and permanent middle cerebral artery occlusion (MCAO). Male Wistar rats were randomly assigned to temporary (group I: suture model) and permanent (group II: suture model; III: macrosphere model) MCAO and to a control group. Perfusion scans with respect to cerebral blood flow (CBF) and volume (CBV) were performed 24h post intervention by fpVCT, using a Gantry rotation time of 1s and a total scanning time of 30s. Postmortem analysis included infarct-size calculation by 2,3,5-triphenyltetrazolium chloride (TTC) staining. Infarct volumes did not differ significantly throughout intervention groups. After permanent MCAO, CBF significantly decreased in subcortical regions to 78.2% (group II, p=0.005) and 79.9% (group III, p=0.012) and in total hemisphere to 77.4% (group II, p=0.010) and 82.0% (group III, p=0.049). CBF was less impaired with temporary vessel occlusion. CBV measurement revealed no significant differences. Results demonstrate feasibility of cerebral perfusion quantification in rats with the fpVCT, which can be a useful tool for non-invasive dynamic imaging of cerebral perfusion in rodent stroke models. In addition to methodological advantages, CBF data confirm the macrosphere model as a useful alternative to the suture model for permanent experimental MCAO.",Juenemann M; Goegel S; Obert M; Schleicher N; Ritschel N; Doenges S; Eitenmueller I; Schwarz N; Kastaun S; Yeniguen M; Tschernatsch M; Gerriets T,Animal model; Cerebral perfusion; Flat-panel volume CT; Stroke,2013,Journal of neuroscience methods,Journal Article,
2D,32190561,Optically tracked and 3D printed haptic phantom hand for surgical training system.,"BACKGROUND: For surgical fixation of bone fractures of the human hand, so-called Kirschner-wires (K-wires) are drilled through bone fragments. Due to the minimally invasive drilling procedures without a view of risk structures like vessels and nerves, a thorough training of young surgeons is necessary. For the development of a virtual reality (VR) based training system, a three-dimensional (3D) printed phantom hand is required. To ensure an intuitive operation, this phantom hand has to be realistic in both, its position relative to the driller as well as in its haptic features. The softest 3D printing material available on the market, however, is too hard to imitate human soft tissue. Therefore, a support-material (SUP) filled metamaterial is used to soften the raw material. Realistic haptic features are important to palpate protrusions of the bone to determine the drilling starting point and angle. An optical real-time tracking is used to transfer position and rotation to the training system. METHODS: A metamaterial already developed in previous work is further improved by use of a new unit cell. Thus, the amount of SUP within the volume can be increased and the tissue is softened further. In addition, the human anatomy is transferred to the entire hand model. A subcutaneous fat layer and penetration of air through pores into the volume simulate shiftability of skin layers. For optical tracking, a rotationally symmetrical marker attached to the phantom hand with corresponding reference marker is developed. In order to ensure trouble-free position transmission, various types of marker point applications are tested. RESULTS: Several cuboid and forearm sample prints lead to a final 30 centimeter long hand model. The whole haptic phantom could be printed faultless within about 17 hours. The metamaterial consisting of the new unit cell results in an increased SUP share of 4.32%. Validated by an expert surgeon study, this allows in combination with a displacement of the uppermost skin layer a good palpability of the bones. Tracking of the hand marker in dodecahedron design works trouble-free in conjunction with a reference marker attached to the worktop of the training system. CONCLUSIONS: In this work, an optically tracked and haptically correct phantom hand was developed using dual-material 3D printing, which can be easily integrated into a surgical training system.",Maier J; Weiherer M; Huber M; Palm C,Dual-material 3D printing; hand surgery training; metamaterial; optical tracking; support-material (SUP); tissue imitating phantom hand,2020,Quantitative imaging in medicine and surgery,Journal Article,
2D,23246198,Heterotopic ossification of the shoulder after central nervous system lesion: indications for surgery and results.,"BACKGROUND: Heterotopic ossification (HO) of the shoulder after central nervous system damage has seldom been studied. MATERIALS AND METHODS: We performed a single-center retrospective study from 1993 to 2009 including patients who underwent surgery for troublesome shoulder HO. Demographic data, HO location, surgical approach, preoperative and postoperative shoulder range of motion, etiologies, and postoperative complications were collected from patients' files. RESULTS: We found 19 shoulder HOs in 16 patients (traumatic brain injury in 11, spinal cord injury in 2, stroke in 1, and cerebral anoxia in 2). The data in 2 files were incomplete and were therefore not used. HO locations around the joint were anteroinferomedial in 4 (21.1%), posteroinferomedial in 5 (26.3%), encircling in 3 (15.8%), superior in 1 (5.3%), and mixed (2 associated HOs that are not encircling) in 6 (31.6%). The surgical approaches were as follows: deltopectoral, 5 (26.3%); Neer, 3 (15.8%); posterior, 5 (26.3%); axillary, 1 (5.3%); Martini, 2 (10.5%); posterior associated with deltopectoral, 2 (10.5%); and Neer (superolateral) associated with deltopectoral, 1 (5.3%). The mean range of motion increased significantly (gain at follow-up of 69°, 60°, and 13° in forward elevation, abduction, and lateral rotation, respectively). Regarding postoperative complications, there was 1 case of capsulitis and 1 reoperation for insufficient excision (because of hemorrhage during surgery). There were no other side effects. CONCLUSION: Anatomic relations with nerves and vessels, as well as limited range of motion, require a case-by-case surgical approach, a preoperative scan (looking for a gutter), and sometimes, electromyography. Surgical indications depend on the degree of loss of function or hygiene, control of comorbid factors, and discussion with the patient and his or her family. Published by Mosby, Inc. All rights reserved.",Pansard E; Schnitzler A; Lautridou C; Judet T; Denormandie P; Genêt F,,2013,Journal of shoulder and elbow surgery,Journal Article,
2D,18359693,[Clinical value of three-dimensional reconstruction of the biliary calculi based on 64-slice spiral CT scanning data].,"OBJECTIVE: To study the clinical value of 3-dimensional (3D) reconstruction of the liver and its ductal structures using 64-slice spiral CT data in hepatobiliary surgery. METHODS: The image data of 64-slice spiral CT scanning was obtained from patients with biliary calculi. Image segmentation was performed both using computer programs and manually, and 3D reconstruction of the liver was carried out using Mimics software. The reconstructed model of the liver and the ductal system was exported in STL format, and then into the FreeForm Modeling System for modification and smoothing, followed by image registration of the liver with the ductal system and the calculi. RESULTS: The reconstructed liver model accurately represented the actual size of the liver and its anatomic landmarks, and by adjusting the transparency of the liver, the hepatic and intrahepatic arteries, veins, the portal vein, some abdominal vessels and the biliary system with the calculi were clearly visualized. The calculi in the intrahepatic and extrahepatic bile ducts were distinct in terms of the location and number, and dilation and stenosis of the intrahepatic and extrahepatic bile ducts were also clearly observed. The model presented with realistic profile of the liver that allowed vivid 3D observation. The model also allowed zooming and rotation for observation in full views. CONCLUSIONS: The reconstructed model of the liver and its ductal system can be useful for preoperative planning and intraoperative complete removal of the calculi from the bile duct, and for the bile duct dilation and stenosis detected in the model, appropriate measures should be taken to reduce the residual calculi and prevent reoccurrence.",Fang CH; Chang X; Lu CM; Yang J; Xiang N; Bao SS; Peng FP; Pan JH,,2008,Nan fang yi ke da xue xue bao = Journal of Southern Medical University,"Journal Article; Research Support, Non-U.S. Gov't",
2D,7924506,Bilateral vs single internal thoracic artery grafting for left main coronary artery occlusion.,"This study was conducted to compare the coronary flow distributed by single and bilateral internal thoracic artery (ITA) grafts in the setting of the left main coronary occlusion. Ten dogs underwent coronary artery bypass grafting through a left thoracotomy, off pump, using a brief local occlusion to perform the anastomosis. Dogs were randomly assigned to receive either a single left ITA (LITA) graft to the circumflex coronary artery (CFX), or bilateral ITA grafts, with additional placement of the right ITA (RITA) to the left anterior descending artery (LAD). After the grafts were placed, the left main coronary artery was ligated. Electromagnetic flows were obtained in the LAD and the CFX proximally and distally to ITA grafts in both groups before grafting and after grafting. ITA flow in situ was also measured before rotation from the chest wall. Total left ventricular flow requirements were satisfied equally well by either a single LITA graft (116.7 +/- 11.6 mL/min) or bilateral ITA grafts (total, 116.8 +/- 9.6 mL/min divided as LITA, 55.9 +/- 7.4 mL/min; RITA, 60.9 +/- 12.0 mL/min). When two grafts were replaced, competitive flow in the proximal regions of both native vessels was noted, although basal flow requirements were maintained. When an individual graft was occluded in the bilaterally grafted system, the remaining graft immediately recruited the additional flow, demonstrating that either right or left ITA can support flow demands five to six times higher than in situ chest wall flow (RITA, 21.9 +/- 3.1 mL/min; LITA, 22.3 +/- 4.9 mL/min). These data suggest that in this canine model, a single ITA graft can support the entire flow requirements of the left ventricle. Assuming no intervening stenosis is present in native coronary systems, bilateral ITA grafting may provide a margin of safety, but under resting conditions, provides no perfusion advantages over a single ITA graft.",Otaki M; Lust RM; Sun YS; Norton TO; Spence PA; Zeri RS; Hopson SB; Chitwood R Jr,,1994,Chest,Comparative Study; Journal Article,
2D,25716938,High-resolution dynamic angiography using flat-panel volume CT: feasibility demonstration for neuro and lower limb vascular applications.,"OBJECTIVE: This paper evaluates a prototype flat-panel volume CT (fpVCT) for dynamic in vivo imaging in a variety of neurovascular and lower limb applications. METHODS: Dynamic CTA was performed on 12 patients (neuro = 8, lower limb = 4) using an fpVCT with 120 kVp, 50 mA, rotation time varying from 8 to 19 s, and field of view of 25 × 25 × 18 cm(3). Four-dimensional data sets (i.e. 3D images over time) were reconstructed and reviewed. RESULTS: Dynamic CTA demonstrated sufficient spatio-temporal resolution to elucidate first-pass and recirculation dynamics of contrast bolus through neurovasclaur pathologies and phasic blood flow though lower-limb vasculature and grafts. The high spatial resolution of fpVCT resulted in reduced partial volume and metal beam-hardening artefacts. This facilitated assessment of vascular lumen in the presence of calcified plaque and evaluation of fractures, especially in the presence of fixation hardware. Evaluation of arteriovenous malformation using dynamic fpVCT angiography was of limited utility. CONCLUSIONS: Dynamic CTA using fpVCT can visualize time-varying phenomena in neuro and lower limb vascular applications and has suffcient diagnostic imaging quality to evaluate a number of pathologies affecting these regions. KEY POINTS: • CTA using fpVCT has sufficient spatial and temporal resolution to study phasic blood flow. • CTA using fpVCT reveals recurrence of aneurysms even after clipping/coiling. • fpVCT has reduced partial volume and metal beam-hardening artefacts. • fpVCT can show vessel lumen in the presence of calcified plaque. • CTA using fpVCT can demonstrate vascular supply to transplanted grafts.",Mehndiratta A; Rabinov JD; Grasruck M; Liao EC; Crandell D; Gupta R,,2015,European radiology,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",
2D,19472617,Development and performance evaluation of an experimental fine pitch detector multislice CT scanner.,"The authors have developed an experimental fine pitch detector multislice CT scanner with an ultrasmall focal spot x-ray tube and a high-density matrix detector through current CT technology. The latitudinal size of the x-ray tube focal spot was 0.4 mm. The detector dimension was 1824 channels (azimuthal direction) x 32 rows (longitudinal direction) at row width of 0.3125 mm, in which a thinner reflected separator surrounds each detector cell coupled with a large active area photodiode. They were mounted on a commercial 64-slice CT scanner gantry while the scan field of view (50 cm) and gantry rotation speed (0.35 s) can be maintained. The experimental CT scanner demonstrated the spatial resolution of 0.21-0.22 mm (23.8-22.7 lp/cm) with the acrylic slit phantom and in-plane 50%-MTF 9.0 lp/cm and 10%-MTF 22.0 lp/cm. In the longitudinal direction, it demonstrated the spatial resolution of 0.24 mm with the high-resolution insert of the CATPHAN phantom and 0.34 mm as the full width at half maximum of the slice sensitivity profile. In low-contrast detectability, 3 mm at 0.3% was visualized at the CTDI(vol) of 47.2 mGy. Two types of 2.75 mm diameter vessel phantoms with in-stent stenosis at 25%, 50%, and 75% stair steps were scanned, and the reconstructed images can clearly resolve the stenosis at each case. The experimental CT scanner provides high-resolution imaging while maintaining low-contrast detectability, demonstrating the potentiality for clinical applications demanding high spatial resolution, such as imaging of inner ear, lung, and bone, or low-contrast detectability, such as imaging of coronary artery.",Imai Y; Nukui M; Ishihara Y; Fujishige T; Ogata K; Moritake M; Kurochi H; Ogata T; Yahata M; Tang X,,2009,Medical physics,"Journal Article; Research Support, Non-U.S. Gov't",
2D,37605257,Testicular salvageability and its predictors among patients with testicular torsion in a resource limited setting: a multicentre longitudinal study.,"INTRODUCTION: Testicular torsion refers to ischemia of the testicle due to twisting or rotation of the vessels supplying the testes. It is a urologic emergency requiring a high index of clinical suspicion and prompt surgical intervention with management aimed at avoiding testicular loss and resulting infertility. This paper gives an update on the current situation regarding this topic in low-income settings. The aim of this study was to determine testicular salvageability and its predictors amongst patients with testicular torsion at two tertiary African hospitals. METHODS: This was a hospital-based multicentre longitudinal study at two tertiary hospitals in western Uganda. Patients with acute scrotum were enrolled and evaluated for testicular torsion. Those with confirmed testicular torsion underwent surgery and salvageability was reported as the primary outcome. Predictors for testicular salvageability were determined using backward binary logistic regression in SPSS version 22. RESULTS: During the study period, 232 patients with acute scrotum were enrolled. The mean age was 35.3 (SD = 20.4) years. Forty-one (17.7%) patients had testicular torsion. Only 16 (39.0%) of patients with torsion had viable testes that were salvageable. Orchiectomy was performed on 25 patients (61.0%). At multivariate analysis, a patient who presented after 48 h from the onset of symptoms was 34.833 times more likely to have orchiectomy compared to one who presented within 12 h [AOR = 34.833, (95% CI = 5.020-60.711), P < 0.001]. CONCLUSION: In this study, the testicular salvage rate was low. The only predictor of salvageability was the time from the onset of symptoms to presentation. All males should be sensitized about the clinical features of testicular torsion to ensure early presentation to increase salvage rates.",Mohamed MA; Abraha D; Olasinde AA; Kiswezi A; Molen SF; Muhumuza J; Lule H,Resource limited setting; Salvageability; Testicular torsion; Uganda,2023,BMC surgery,Journal Article; Multicenter Study,
2D,36988753,Perforated Ulcer of the Gastrojejunal Anastomosis and Concomitant Internal Hernia After One Anastomosis Gastric Bypass.,"PURPOSE: The management of concomitant complications after OAGB is challenging. We aim to show the surgical management of two concomitant complications after one anastomosis gastric bypass: internal hernia and anastomotic ulcer perforation. MATERIALS AND METHODS: We present the case of a 32-year-old woman with BMI of 51 kg/m2, who underwent OAGB. Three years later, she presented with intense and brutal epigastric pain. She was a heavy smoker. Her weight and BMI were 75 kg and 26 kg/m(2), respectively. Clinical examination showed generalized peritonitis, computed tomography showed pneumoperitoneum, diffuse peritoneal effusion, and rotation of the superior mesenteric vessels indicative of an internal hernia. RESULTS: A generalized biliary peritonitis secondary to a perforated ulcer on the gastrojejunal anastomosis and internal hernia of the common loop into a large Petersen orifice were diagnosed. The internal hernia was reduced, and a perforation of the posterior surface of the gastrojejunal anastomosis was identified. Surgical treatment consisted in the placement of a Kehr's drain into the perforation, closure of the Petersen orifice, and lavage-drainage of the peritoneal cavity. The postoperative course was uneventful, and she was discharged on postoperative day 12. The Kehr's drain was removed 1 month after discharge. CONCLUSION: The combination of two different complications after OAGB can make the pre- and intra-operative judgment difficult and hamper the therapeutic approach. The initial reduction of the internal hernia made it possible to reduce the pressure in the surgical assembly and facilitated the treatment of the anastomotic perforation.",Liagre A; Martini F; Petrucciani N,Anastomotic ulcer; Internal hernia; Kehr’s drain; One anastomosis gastric bypass,2023,Obesity surgery,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",
2D,16641416,Improved motion compensation in 3D-CT using respiratory-correlated segment reconstruction: diagnostic and radiotherapy applications.,"Conventional respiratory-gated CT and four-dimensional CT (4DCT) are disadvantaged by their low temporal resolution, which results in the inclusion of anatomic motion-induced artefacts. These represent a significant source of error both in radiotherapy treatment planning for the thorax and upper abdomen and in diagnostic procedures. In particular, temporal resolution and image quality are vitally important to accurate diagnosis and the minimization of planning target volume margin due to respiratory motion. To improve both temporal resolution and signal-to-noise ratio (SNR), we developed a respiratory-correlated segment reconstruction method (RS) and adapted it to the Feldkamp-Davis-Kress algorithm (FDK) with a 256 multidetector row CT (256MDCT). The 256MDCT scans approximately 100 mm in the craniocaudal direction with a 0.5 mm slice thickness in one rotation. Data acquisition for the RS-FDK relies on the assistance of a respiratory sensing system operating in cine scan mode (continuous axial scan with the table stationary). We evaluated the RS-FDK for volume accuracy and image noise in a phantom study with the 256MDCT and compared results with those for a full scan (FS-FDK), which is usually employed in conventional 4DCT and in half scan (HS-FDK). Results showed that the RS-FDK gave a more accurate volume than the others and had the same SNR as the FS-FDK. In a subsequent animal study, we demonstrated a practical sorting process for projection data which was unaffected by variations in respiratory period, and found that the RS-FDK gave the clearest visualization among the three algorithms of the margins of the liver and pulmonary vessels. In summary, the RS-FDK algorithm provides multi-phase images with higher temporal resolution and better SNR. This method should prove useful when combined with new radiotherapeutic and diagnostic techniques.",Mori S; Endo M; Kohno R; Minohara S,,2006,The British journal of radiology,Journal Article,
2D,16053973,Diagnostic accuracy of noninvasive coronary angiography using 64-slice spiral computed tomography.,"OBJECTIVES: The aim of our study was to evaluate the diagnostic accuracy of multislice computed tomography (MSCT) coronary angiography using a new 64-slice scanner. BACKGROUND: The new 64-slice MSCT scanner has improved spatial resolution of 0.4 mm and a faster rotation time (330 ms) compared to prior MSCT scanners. METHODS: We studied 70 consecutive patients undergoing elective invasive coronary angiography. Patients were excluded for atrial fibrillation, but not for high heart rate, coronary calcification, or obesity. All vessels were analyzed, including those <1.5 mm in diameter; MSCT lesions were analyzed quantitatively as well as by a qualitative scale and compared to quantitative coronary angiography (QCA). Results were also analyzed for significant coronary stenoses (over 50% luminal narrowing) by segment, by artery, and by patient. RESULTS: All scans showed diagnostic image quality. Of 1,065 segments, 935 (88%) could be evaluated, and 773 of 935 (83%) could be assessed quantitatively by both MSCT and QCA. The Spearman correlation coefficient between MSCT and QCA was 0.76 (p < 0.0001). Bland-Altman analysis demonstrated a mean difference in percent stenosis of 1.3 +/- 14.2%. A total of 26% of patients had calcium scores above 400 Agatston U, 25% had heart rates >70 beats/min, and 50% were obese. Specificity, sensitivity, and positive and negative predictive values for the presence of significant stenoses were: by segment (n = 935), 86%, 95%, 66%, and 98%, respectively; by artery (n = 279), 91%, 92%, 80%, and 97%, respectively; by patient (n = 70), 95%, 90%, 93%, and 93%, respectively. CONCLUSIONS: Our results indicate high quantitative and qualitative diagnostic accuracy of 64-slice MSCT in comparison to QCA in a broad spectrum of patients.",Raff GL; Gallagher MJ; O'Neill WW; Goldstein JA,,2005,Journal of the American College of Cardiology,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",
2D,30107511,Diagnostic performance of on-site computed CT-fractional flow reserve based on fluid structure interactions: comparison with invasive fractional flow reserve and instantaneous wave-free ratio.,"AIMS: We evaluated diagnostic accuracy of CT-fractional flow reserve (CT-FFR) computed on-site with a new vendor workstation, against invasive FFR as the reference standard. METHODS AND RESULTS: Retrospective analyses compared CT-FFR of 104 vessels with 30-90% diameter stenosis in 75 patients imaged using single-rotation 320 detector-row coronary CT angiography (CCTA) with invasive FFR performed within 90 days. Prospective ECG-gated CCTA included exposure of 70-99% of the R-R interval. CT-FFR was computed on-site within the same physical space as the CT scanner and reading room. The diagnostic accuracy of CCTA >50% and CT-FFR ≤0.8 to detect hemodynamically significant stenosis, defined as FFR ≤0.8, was determined, as was the correlation of CT-FFR to FFR and instantaneous wave-free ratio (iFR). Forty-four vessels (42.3%) had an invasive FFR ≤0.8. The sensitivity, specificity, positive, and negative predictive value of CT-FFR ≤0.8 vs. CCTA >50% to detect hemodynamically significant stenosis defined as FFR ≤0.8 were 90.9% vs. 70.5%, 78.3% vs. 43.3%, 75.5% vs. 47.7%, and 92.2% vs. 66.7%, respectively. Area under the curve of CT-FFR was significantly higher than CCTA >50% [0.85, 95% confidence interval (CI): 0.76-0.91 vs. 0.57, 95% CI: 0.47-0.67; P < 0.0001]. The correlation coefficient between CT-FFR and iFR was r = 0.62 (95% CI: 0.40-0.77, P < 0.0001) and that between CT-FFR and invasive FFR was r = 0.52 (95% CI: 0.28-0.70, P = 0.0001). CT-FFR inter- and intra-observer correlations were excellent (r = 0.83 and r = 0.82, respectively). CONCLUSION: Locally computed CT-FFR based on fluid structure interaction has excellent diagnostic accuracy to detect a significant FFR ≤0.8 compared with conventional CCTA and high reproducibility. The Author(s) 2018. For permissions, please email: journals.permissions@oup.com.",Fujimoto S; Kawasaki T; Kumamaru KK; Kawaguchi Y; Dohi T; Okonogi T; Ri K; Yamada S; Takamura K; Kato E; Kato Y; Hiki M; Okazaki S; Aoki S; Mitsouras D; Rybicki FJ; Daida H,coronary CT angiography; fluid structure interaction; fractional flow reserve; instantaneous wave-free ratio; local computation,2019,European heart journal. Cardiovascular Imaging,Comparative Study; Journal Article,
2D,31092005,A hybrid operating room for combined surgical and endovascular procedures for cerebrovascular diseases: a clinical experience at a single centre.,"Purpose: To describe our experiences with a fully equipped high-end digital subtraction angiography (DSA) system within a hybrid operating room (OR). Material and methods: A single-plane DSA system with 3-dimensional rotational angiography (3DRA), cone-beam computed tomography, and real-time navigation software was used in our hybrid OR. Between April 2014 and January 2018, 191 sessions of neurovascular procedures were performed in our hybrid OR. After the retrospective review of all cases, the procedures were categorised into five subcategorical procedures according to the dominance of surgical and/or endovascular procedures: intraoperative angiographic evaluation, combined endovascular and surgical procedure, complementary rescue procedure during intervention and surgery, surgical approach for interventional procedure, and frameless stereotaxic operation. Results: Intraoperative angiography revealed unsatisfactory clipping of intracranial aneurysms in 6 (13.6%) patients and remnant AVMs in 1 (16.7%) patient, which were determined as complete surgical outcome via indocyanine green videoangiography. Four cases of blood blister aneurysms and a ruptured posterior inferior cerebellar artery aneurysm were treated using bypass surgery and endovascular trapping. Eight cases of ruptured aneurysm with intracranial haemorrhage (ICH) were treated by partial embolisation and surgical clipping. Two (5.4%) of the 37 cases of pre-mature rupture during clipping were secured by endovascular coil embolisation. In 1 (0.8%) complicated case of 103 intra-arterial (IA) thrombectomy procedures, emergency surgical embolectomy with bypass surgery was performed. Direct puncture of the common carotid artery or vertebral artery was performed to achieve interventional access to treat aneurysm or recanalise vessel occlusions in 7 cases. In 27 cases of ICH, frameless stereotaxic haematoma aspiration was performed using XperGuide® system. All procedures were performed in single sessions without any procedural complications. Conclusion: Hybrid OR with a fully equipped DSA system could provide safe and precise treatment for neurovascular diseases. Hybrid procedures for neurovascular diseases in hybrid OR are a promising new trend.",Choi E; Lee JY; Jeon HJ; Cho BM; Yoon DY,Hybrid; cerebrovascular disease; cone-beam computed tomography; endovascular procedures; intraoperative angiography; operating room,2019,British journal of neurosurgery,Journal Article,
2D,18550555,The potential clinical utility of intravascular ultrasound guidance in patients undergoing percutaneous coronary intervention with drug-eluting stents.,"AIMS: To assess the impact on clinical outcomes of intravascular ultrasound (IVUS) guidance during drug-eluting stent (DES) implantation. IVUS guidance during percutaneous coronary intervention (PCI) has been demonstrated to be useful in optimizing stent deployment. However, it is not proved that routine use of IVUS guidance with DES implantation can prevent stent thrombosis or restenosis. METHODS AND RESULTS: The clinical outcomes of 884 patients undergoing IVUS-guided intracoronary DES implantation from April 2003 to May 2006 were compared with the outcomes of a propensity-score matched population undergoing DES implantation with angiographic guidance alone. The primary endpoint of the study was definite stent thrombosis at 12 months. The secondary endpoint was major adverse cardiac events (MACE). After propensity-score matching, the two groups were well matched for clinical and angiographic characteristics. Patients undergoing IVUS-guided DES implantation underwent less direct stenting, more post-dilation, and had greater cutting balloon and rotational atherectomy use. At 30 days and at 12 months, a higher rate of definite stent thrombosis was seen in the No IVUS group (0.5 vs. 1.4%; P = 0.046) and (0.7 vs. 2.0%; P = 0.014), respectively. There were no major differences in late stent thrombosis and MACE (14.5 vs. 16.2%; P = 0.33) at 12 month follow-up between the groups. Rates of death and Q-wave myocardial infarction were similar, and there was no significant difference between groups in target vessel revascularization. However, a trend was seen in favour of the IVUS group in target lesion revascularization (5.1 vs. 7.2%; P = 0.07). IVUS guidance was an independent predictor of freedom from cumulative stent thrombosis at 12 months (adjusted HR 0.5, CI 0.1-0.8; P = 0.02). CONCLUSION: IVUS guidance during DES implantation has the potential to influence treatment strategy and reduce both DES thrombosis and the need for repeat revascularization.",Roy P; Steinberg DH; Sushinsky SJ; Okabe T; Pinto Slottow TL; Kaneshige K; Xue Z; Satler LF; Kent KM; Suddath WO; Pichard AD; Weissman NJ; Lindsay J; Waksman R,,2008,European heart journal,Evaluation Study; Journal Article,
2D,29943649,Three-dimensional multimodality fusion imaging as an educational and planning tool for deep-seated meningiomas.,"INTRODUCTION: The utility of surgical simulation with three-dimensional multimodality fusion imaging (3D-MFI) has been demonstrated. However, its potential in deep-seated brain lesions remains unknown. The aim of this study was to investigate the impact of 3D-MFI in deep-seated meningioma operations. MATERIAL AND METHODS: Fourteen patients with deeply located meningiomas were included in this study. We constructed 3D-MFIs by fusing high-resolution magnetic resonance (MR) and computed tomography (CT) images with a rotational digital subtraction angiogram (DSA) in all patients. The surgical procedure was simulated by 3D-MFI prior to operation. To assess the impact on neurosurgical education, the objective values of surgical simulation by 3D-MFIs/virtual reality (VR) video were evaluated. To validate the quality of 3D-MFIs, intraoperative findings were compared. The identification rate (IR) and positive predictive value (PPV) for the tumor feeding arteries and involved perforating arteries and veins were also assessed for quality assessment of 3D-MFI. RESULTS: After surgical simulation by 3D-MFIs, near-total resection was achieved in 13 of 14 (92.9%) patients without neurological complications. 3D-MFIs significantly contributed to the understanding of surgical anatomy and optimal surgical view (p < .0001) and learning how to preserve critical vessels (p < .0001) and resect tumors safety and extensively (p < .0001) by neurosurgical residents/fellows. The IR of 3D-MFI for tumor-feeding arteries and perforating arteries and veins was 100% and 92.9%, respectively. The PPV of 3D-MFI for tumor-feeding arteries and perforating arteries and veins was 98.8% and 76.5%, respectively. CONCLUSIONS: 3D-MFI contributed to learn skull base meningioma surgery. Also, 3D-MFI provided high quality to identify critical anatomical structures within or adjacent to deep-seated meningiomas. Thus, 3D-MFI is promising educational and surgical planning tool for meningiomas in deep-seated regions.",Sato M; Tateishi K; Murata H; Kin T; Suenaga J; Takase H; Yoneyama T; Nishii T; Tateishi U; Yamamoto T; Saito N; Inoue T; Kawahara N,Three-dimensional multimodality fusion imaging; deep-seated meningioma; neurosurgical education; surgical simulation,2018,British journal of neurosurgery,Evaluation Study; Journal Article,
